

	Started monitoring at 6/27/2016 7:34:24 PM

Settings:
Block Packets With no Process: True
Blocked ports: 137, 7533

Number    Date        Time      Protocol  Application                   Source IP         Source Port    Destination IP    Destination Port  Packet Length
1         2016-06-27  19:34:25  TCP       chrome                        10.11.1.136       51695          10.11.1.1         3128              262       
2         2016-06-27  19:34:25  TCP       chrome                        10.11.1.136       51695          10.11.1.1         3128              86        
3         2016-06-27  19:34:25  TCP       chrome                        10.11.1.1         3128           10.11.1.136       51695             40        
4         2016-06-27  19:34:25  TCP       chrome                        10.11.1.1         3128           10.11.1.136       51695             40        
5         2016-06-27  19:34:25  TCP       chrome                        10.11.1.1         3128           10.11.1.136       51695             86        
6         2016-06-27  19:34:25  TCP       chrome                        10.11.1.136       51695          10.11.1.1         3128              40        
7         2016-06-27  19:34:25  TCP       chrome                        10.11.1.1         3128           10.11.1.136       51695             624       
8         2016-06-27  19:34:25  TCP       chrome                        10.11.1.1         3128           10.11.1.136       51695             863       
9         2016-06-27  19:34:25  TCP       chrome                        10.11.1.136       51695          10.11.1.1         3128              40        
10        2016-06-27  19:34:25  UDP       svchost                       10.11.4.1         1900           239.255.255.250   1900              394       
11        2016-06-27  19:34:25  UDP       svchost                       10.11.4.1         1900           239.255.255.250   1900              384       
12        2016-06-27  19:34:26  UDP       svchost                       10.11.102.1       63826          239.255.255.250   1900              161       
13        2016-06-27  19:34:26  UDP       svchost                       10.11.102.1       62255          224.0.0.252       5355              50        
14        2016-06-27  19:34:26  TCP       Skype                         10.11.1.136       51677          10.11.1.1         3128              96        
15        2016-06-27  19:34:26  TCP       Skype                         10.11.1.136       51677          10.11.1.1         3128              98        
16        2016-06-27  19:34:26  TCP       Skype                         10.11.1.1         3128           10.11.1.136       51677             40        
17        2016-06-27  19:34:26  UDP       svchost                       10.11.102.1       62255          224.0.0.252       5355              50        
18        2016-06-27  19:34:26  TCP       Skype                         10.11.1.1         3128           10.11.1.136       51677             40        
19        2016-06-27  19:34:26  UDP       svchost                       10.11.211.212     65087          239.255.255.250   1900              161       
20        2016-06-27  19:34:26  TCP       Skype                         10.11.1.1         3128           10.11.1.136       51677             43        
21        2016-06-27  19:34:27  TCP       Skype                         10.11.1.136       51677          10.11.1.1         3128              40        
22        2016-06-27  19:34:27  TCP       Skype                         10.11.1.136       51677          10.11.1.1         3128              174       
23        2016-06-27  19:34:27  TCP       Skype                         10.11.1.1         3128           10.11.1.136       51677             903       
24        2016-06-27  19:34:27  TCP       Skype                         10.11.1.136       51677          10.11.1.1         3128              171       
25        2016-06-27  19:34:27  TCP       Skype                         10.11.1.1         3128           10.11.1.136       51677             40        
26        2016-06-27  19:34:27  TCP       Skype                         10.11.1.1         3128           10.11.1.136       51677             40        
27        2016-06-27  19:34:27  TCP       Skype                         10.11.1.1         3128           10.11.1.136       51677             43        
28        2016-06-27  19:34:27  TCP       Skype                         10.11.1.136       51677          10.11.1.1         3128              40        
29        2016-06-27  19:34:27  TCP       Skype                         10.11.1.1         3128           10.11.1.136       51677             63        
30        2016-06-27  19:34:27  TCP       Skype                         10.11.1.136       51677          10.11.1.1         3128              40        
31        2016-06-27  19:34:29  UDP       svchost                       10.11.102.1       63826          239.255.255.250   1900              161       
32        2016-06-27  19:34:29  UDP       svchost                       10.11.50.16       62529          224.0.0.252       5355              50        
33        2016-06-27  19:34:29  UDP       svchost                       10.11.50.16       52938          224.0.0.252       5355              50        
34        2016-06-27  19:34:29  UDP       svchost                       10.11.50.16       65133          224.0.0.252       5355              50        
35        2016-06-27  19:34:29  UDP       svchost                       10.11.50.16       51441          224.0.0.252       5355              50        
36        2016-06-27  19:34:29  UDP       svchost                       10.11.211.212     65087          239.255.255.250   1900              161       
37        2016-06-27  19:34:30  TCP       chrome                        10.11.1.136       52527          10.11.1.1         3128              52        
38        2016-06-27  19:34:30  TCP       chrome                        10.11.1.136       52527          10.11.1.1         3128              40        
39        2016-06-27  19:34:30  TCP       chrome                        10.11.1.136       52527          10.11.1.1         3128              267       
40        2016-06-27  19:34:30  TCP       chrome                        10.11.1.1         3128           10.11.1.136       52527             52        
41        2016-06-27  19:34:30  TCP       chrome                        10.11.1.1         3128           10.11.1.136       52527             40        
42        2016-06-27  19:34:30  TCP       chrome                        10.11.1.1         3128           10.11.1.136       52527             79        
43        2016-06-27  19:34:30  TCP       chrome                        10.11.1.136       52527          10.11.1.1         3128              557       
44        2016-06-27  19:34:30  TCP       chrome                        10.11.1.136       52527          10.11.1.1         3128              91        
45        2016-06-27  19:34:30  TCP       chrome                        10.11.1.1         3128           10.11.1.136       52527             192       
46        2016-06-27  19:34:30  TCP       chrome                        10.11.1.1         3128           10.11.1.136       52527             40        
47        2016-06-27  19:34:30  TCP       chrome                        10.11.1.136       52527          10.11.1.1         3128              1079      
48        2016-06-27  19:34:30  TCP       Skype                         10.11.1.1         3128           10.11.1.136       52512             55        
49        2016-06-27  19:34:30  TCP       Skype                         10.11.1.136       52512          10.11.1.1         3128              44        
50        2016-06-27  19:34:30  TCP       chrome                        10.11.1.1         3128           10.11.1.136       52527             40        
51        2016-06-27  19:34:30  TCP       Skype                         10.11.1.1         3128           10.11.1.136       52512             40        
52        2016-06-27  19:34:30  TCP       chrome                        10.11.1.1         3128           10.11.1.136       52527             935       
53        2016-06-27  19:34:30  UDP       svchost                       10.11.50.16       51864          239.255.255.250   1900              161       
